Pregunta,Respuesta
"¿Qué es la EPS?", "La EPS es la Entidad Promotora de Salud, encargada de la salud en Colombia."
"¿Qué beneficios ofrece la AFP?", "La AFP ofrece pensiones de vejez, invalidez y sobrevivencia."
"¿Cuál es la función de la ARL?", "La ARL se encarga de prevenir y atender accidentes laborales."
"¿Qué es el CCF?", "El CCF es el Certificado de Contratación Formal, que garantiza derechos laborales."
"¿Qué cubre el SENA?", "El SENA ofrece formación profesional y programas de empleo."
"¿Qué es la seguridad social?", "La seguridad social es un sistema que protege a los ciudadanos ante riesgos como enfermedad, invalidez y vejez."
"¿Qué aporta un empleador a la seguridad social?", "El empleador debe aportar a la salud, pensión y riesgos laborales de sus empleados."
"¿Qué es el régimen subsidiado de salud?", "Es un sistema que cubre a las personas en situación de vulnerabilidad que no pueden pagar por servicios de salud."
"¿Cómo se calcula la pensión en Colombia?", "La pensión se calcula en base al salario promedio y el tiempo de cotización del trabajador."
"¿Qué derechos tienen los trabajadores independientes?", "Los trabajadores independientes tienen derecho a acceder a salud, pensiones y protección frente a riesgos laborales si cotizan."
"¿Qué es el Sistema General de Riesgos Laborales?", "Es un sistema que previene, reduce y atiende las consecuencias de los accidentes y enfermedades laborales."
"¿Qué son las cesantías?", "Las cesantías son un ahorro forzoso que se entrega al trabajador al finalizar su contrato laboral."
"¿Cuándo se debe afiliar a un empleado a la seguridad social?", "Un empleado debe ser afiliado desde el momento en que comienza a laborar."
"¿Qué es un trabajador dependiente?", "Un trabajador dependiente es aquel que realiza una labor bajo un contrato de trabajo y recibe un salario."
"¿Qué es un trabajador independiente?", "Un trabajador independiente es aquel que trabaja por cuenta propia y no tiene un empleador directo."
"¿Cuáles son los tipos de afiliación a la salud?", "Los tipos de afiliación son régimen contributivo y régimen subsidiado."
"¿Qué es el Fondo de Pensiones?", "Es una entidad que administra los recursos para pagar pensiones a los afiliados."
"¿Qué derechos tiene un trabajador en caso de despido?", "Un trabajador tiene derecho a recibir su liquidación y preaviso, además de poder presentar una demanda si el despido es injustificado."
"¿Qué es el auxilio de transporte?", "Es un subsidio que se otorga a los trabajadores para cubrir parte de sus gastos de transporte."
"¿Cómo se reportan las novedades al sistema de seguridad social?", "Las novedades se reportan a través de formularios que deben ser entregados a las EPS y AFP correspondientes."
"¿Qué es el sistema de salud pública en Colombia?", "Es el conjunto de instituciones y servicios que garantizan el acceso a la salud para toda la población."
"¿Qué es el subsidio familiar?", "Es un apoyo económico que se entrega a los trabajadores para ayudar en el sustento de sus hijos."
"¿Qué son las pensiones de invalidez?", "Son prestaciones económicas que se otorgan a quienes no pueden trabajar debido a una discapacidad."
"¿Cuál es la edad mínima para pensionarse en Colombia?", "La edad mínima es de 57 años para mujeres y 62 años para hombres, con requisitos de cotización."
"¿Qué es la licencia de maternidad?", "Es un derecho que permite a las mujeres ausentarse del trabajo antes y después del parto."
"¿Cómo se calcula el subsidio por desempleo?", "Se calcula en base al promedio de los salarios cotizados y la duración del tiempo en que se estuvo empleado."
"¿Qué son los riesgos laborales?", "Son los accidentes o enfermedades que pueden ocurrir a los trabajadores en el desempeño de su labor."
"¿Qué es la liquidación de un trabajador?", "Es el pago que se realiza al finalizar la relación laboral, incluyendo salarios y prestaciones."
